location_name,peak_bed_day_mean,peak_bed_day_lower,peak_bed_day_upper,peak_icu_bed_day_mean,peak_icu_bed_day_lower,peak_icu_bed_day_upper,peak_vent_day_mean,peak_vent_day_lower,peak_vent_day_upper,all_bed_capacity,icu_bed_capacity,all_bed_usage,icu_bed_usage,available_all_nbr,available_icu_nbr,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
Abruzzo,3/30/2020,3/29/2020,3/31/2020,3/30/2020,3/29/2020,3/31/2020,3/30/2020,3/29/2020,3/30/2020,4357,158,3464,122,893,36,3/22/2020,5/4/2020,3/11/2020,,3/5/2020,,3/11/2020,,3/11/2020,,3/11/2020,4/14/2020
Alabama,5/26/2020,5/3/2020,6/29/2020,5/31/2020,5/4/2020,6/30/2020,5/29/2020,5/4/2020,6/30/2020,17537,1525,11793,1050,5744,475,,,4/4/2020,4/30/2020,3/19/2020,,3/19/2020,,3/19/2020,,3/28/2020,4/30/2020
Alaska,4/2/2020,4/2/2020,4/2/2020,4/4/2020,4/4/2020,4/4/2020,4/4/2020,4/4/2020,4/4/2020,2034,169,1351,115,683,54,3/28/2020,4/24/2020,3/28/2020,4/24/2020,3/16/2020,,3/24/2020,,3/17/2020,,3/28/2020,4/24/2020
Alberta,5/6/2020,4/26/2020,5/16/2020,5/8/2020,4/26/2020,5/17/2020,5/7/2020,4/26/2020,5/16/2020,,,,,,,,,,,3/16/2020,,3/12/2020,,3/18/2020,,,
Andalucia,4/6/2020,4/5/2020,4/7/2020,4/6/2020,4/6/2020,4/7/2020,4/6/2020,4/6/2020,4/6/2020,,,,,,,,,3/15/2020,,3/14/2020,,3/15/2020,,3/15/2020,,3/15/2020,4/13/2020
Aragon,4/4/2020,4/2/2020,4/8/2020,4/7/2020,4/6/2020,4/8/2020,4/7/2020,4/6/2020,4/8/2020,,,,,,,,,3/15/2020,,3/14/2020,,3/15/2020,,3/15/2020,,3/15/2020,4/13/2020
Arizona,6/13/2020,5/3/2020,7/3/2020,6/15/2020,5/4/2020,7/2/2020,6/15/2020,5/4/2020,7/1/2020,16342,1440,10324,932,6018,508,,,3/30/2020,,3/16/2020,,3/30/2020,,,,,
Arkansas,5/8/2020,4/29/2020,7/3/2020,5/8/2020,5/3/2020,7/5/2020,5/8/2020,5/3/2020,7/5/2020,11243,914,6237,519,5006,395,,,,,3/17/2020,,3/27/2020,,3/19/2020,,,
Asturias,4/10/2020,4/8/2020,5/2/2020,4/10/2020,4/9/2020,5/1/2020,4/10/2020,4/9/2020,5/1/2020,,,,,,,,,3/15/2020,,3/14/2020,,3/15/2020,,3/15/2020,,3/15/2020,4/13/2020
Austria,4/7/2020,4/6/2020,5/4/2020,4/7/2020,4/7/2020,5/7/2020,4/7/2020,4/7/2020,5/6/2020,65384,1892,52729,1477,12655,415,,,3/16/2020,5/1/2020,3/16/2020,,3/10/2020,,3/16/2020,,3/16/2020,4/13/2020
Baden-Wurttemberg,4/15/2020,4/13/2020,5/3/2020,4/15/2020,4/14/2020,5/2/2020,4/15/2020,4/14/2020,5/2/2020,,,,,,,,,3/21/2020,,3/17/2020,,3/21/2020,,3/21/2020,,3/21/2020,4/20/2020
