date,state,region,meanR0,medianR0,lower_90R0,upper_90R0,lower_50R0,upper_50R0,new_cases
3/24/2020,Alaska,AK,0.849675916,0.857128771,0.386322555,1.376672387,0.629817826,1.014902817,14
3/25/2020,Alaska,AK,0.848379239,0.851133558,0.402978634,1.355523988,0.662607116,1.034906257,6
3/26/2020,Alaska,AK,0.846192208,0.840529063,0.320894073,1.282198525,0.706285663,1.05508346,17
3/27/2020,Alaska,AK,0.836269595,0.836467373,0.358909781,1.264526896,0.641547335,1.000470956,10
3/28/2020,Alaska,AK,0.835055514,0.833919308,0.372390458,1.266536011,0.7292607,1.087773979,16
3/29/2020,Alaska,AK,0.830335896,0.831425134,0.356870798,1.260058982,0.647795144,1.006189249,17
3/30/2020,Alaska,AK,0.820381947,0.825874864,0.364018561,1.284178859,0.683022061,1.039078761,12
3/31/2020,Alaska,AK,0.820671843,0.826654107,0.369061877,1.290478969,0.696434309,1.055323554,5
4/1/2020,Alaska,AK,0.814989522,0.825432604,0.290763844,1.253435813,0.633988136,0.986991276,14
4/2/2020,Alaska,AK,0.802216217,0.815996484,0.327851096,1.263109476,0.637030355,1.003339118,10
4/3/2020,Alaska,AK,0.801655258,0.807144726,0.359057633,1.247160222,0.624631141,1.004907541,14
4/4/2020,Alaska,AK,0.796308034,0.803235425,0.338439676,1.179620006,0.571940026,0.933768109,14
4/5/2020,Alaska,AK,0.797668654,0.80616425,0.319137703,1.179541721,0.658176034,1.01519032,14
4/6/2020,Alaska,AK,0.79069082,0.790203518,0.320249286,1.207438413,0.67289424,1.037280557,6
4/7/2020,Alaska,AK,0.785421675,0.801079291,0.289439008,1.227292411,0.599382238,0.978962641,22
4/8/2020,Alaska,AK,0.775490315,0.786753068,0.368993725,1.267874042,0.499602356,0.898000615,13
4/9/2020,Alaska,AK,0.767452906,0.773510019,0.300424415,1.191429115,0.482174339,0.901418306,9
4/10/2020,Alaska,AK,0.767228752,0.774564268,0.290743506,1.291277763,0.549234422,0.953332938,11
4/11/2020,Alaska,AK,0.763185865,0.777190631,0.21826458,1.225444991,0.497075143,0.921589938,11
4/12/2020,Alaska,AK,0.757528192,0.777331328,0.241190222,1.246829372,0.510838715,0.96361143,15
